strategy,family,symbol,fold_year,fold_type,horizon_ms,train_events,train_months,test_events,test_months,train_eligible,test_eligible,train_mean_bp,train_ci_low_bp,train_ci_high_bp,train_p_positive,train_p_two_sided,test_mean_bp,test_ci_low_bp,test_ci_high_bp,test_p_positive,test_p_two_sided,train_bh_q,train_by_q,train_family_bh_q,train_family_by_q,test_bh_q,test_by_q,test_family_bh_q,test_family_by_q,primary_selection,oos_positive,oos_survives_selection,oos_fdr_significant,selected_oos_fdr_significant,monitoring_only
btc_long_ret-3_oi-1_entry60_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,47,21,15,8,True,True,49.45778756667497,-11.320147931874311,116.85089497758423,0.07146426786606697,0.13943028485757122,36.412825805101825,-209.15657632388348,189.06210240616352,0.35282358820589704,0.7256371814092953,0.26078188975687594,1.0,0.24502034696937244,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oi-1_entry60_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,43,21,12,8,True,True,116.98049381404269,-36.348507123209444,240.59456840009315,0.03248375812093953,0.10094952523738131,122.67715872665656,-109.63164124237584,306.47795392011795,0.14342828585707146,0.2913543228385807,0.18768393580987286,1.0,0.17324670997834415,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oi-2_entry0_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,45,21,11,7,True,True,38.7384059935115,-18.98263344359704,93.7632933426911,0.09895052473763119,0.19640179910044978,0.1827880989869367,-101.34418011103651,81.0475084481199,0.5052473763118441,0.9950024987506247,0.3118440779610195,1.0,0.29685157421289354,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oi-2_entry0_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,43,21,10,7,True,True,32.74253658550797,-10.039196717062099,85.26226789449154,0.11044477761119441,0.1934032983508246,52.362517444364165,-236.94923123003923,290.2928585470491,0.3453273363318341,0.697151424287856,0.31906269087678385,1.0,0.3118440779610195,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oi-2_entry0_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,40,21,9,7,True,False,166.50832304510186,40.220240659621886,275.8611712159553,0.0009995002498750624,0.006496751624187906,35.18652600745212,-141.23621079247567,222.98475445539333,0.3873063468265867,0.7021489255372314,0.06929868399133766,0.4100511005288334,0.063968015992004,0.37340132769076395,,,,,False,False,False,False,False,False
btc_long_ret-3_oi-2_entry30_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,45,21,11,7,True,True,41.444430291455774,0.5896344512568545,79.67922353944762,0.01649175412293853,0.03698150924537731,-50.57321242303517,-163.02359658553507,32.747190047585654,0.8540729635182409,0.27436281859070466,0.15592203898050974,0.9226149761898751,0.14392803598200898,0.8401529873042188,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-3_oi-2_entry30_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,43,21,10,7,True,True,50.226668939953605,4.299212744668155,104.76364284753976,0.02948525737131434,0.0559720139930035,-32.08315181037333,-342.9520654657843,169.54469251956223,0.6241879060469765,0.7851074462768616,0.18343769291824674,1.0,0.1693271011553047,0.9884152791814339,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-3_oi-2_entry30_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,40,21,9,7,True,False,167.50646145036373,49.05812431251951,268.8551902651335,0.0004997501249375312,0.004997501249375313,-33.63384526682261,-234.45517626271968,189.33049345526817,0.6496751624187906,0.7786106946526736,0.051974012993503245,0.307538325396625,0.047976011994003,0.28005099576807296,,,,,False,False,False,False,False,False
btc_long_ret-3_oi-2_entry60_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,45,21,11,7,True,True,34.48527867653794,-3.8729668505672894,74.29898867827293,0.050974512743628186,0.08745627186406797,-52.688717952425534,-200.39763047466386,38.340037372536315,0.8195902048975512,0.34182908545727136,0.23275318862307978,1.0,0.21962352157254708,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-3_oi-2_entry60_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,43,21,10,7,True,True,26.774262859374428,-22.950732686679636,81.50419051682977,0.15292353823088456,0.3028485757121439,-42.12828462652717,-331.90381367653976,157.03458487607915,0.6436781609195402,0.7301349325337332,0.4130921552210908,1.0,0.40220985397712106,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False
