strategy,family,symbol,bucket,scope,events,months,eligible,mean_bp,ci_low_bp,ci_high_bp,p_positive,p_two_sided,oos_bh_q,oos_by_q,oos_family_bh_q,oos_family_by_q,primary_selection,selected_strategy,oos_fdr_significant,selected_oos_fdr_significant
btc_long_ret-2_oi-2_entry30_exit24h,liq_reversion,BTCUSDT,all,primary,23,11,True,47.906398374945,-55.410460307434256,141.70061340407457,0.1714142928535732,0.33383308345827084,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit24h,liq_reversion,BTCUSDT,uptrend,primary,11,7,True,180.49037122789252,37.260404602991876,312.2759485362201,0.008995502248875561,0.015492253873063468,0.2725137431284358,1.0,0.2638680659670165,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit24h,liq_reversion,BTCUSDT,downtrend,primary,12,5,True,-73.62891007359029,-197.3333587780236,-14.91360830564541,0.8775612193903048,0.12293853073463268,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit24h,liq_reversion,BTCUSDT,uptrend_low_vol,exploratory,10,7,True,178.52710456611368,40.490910924693075,326.707837080349,0.012993503248375811,0.017991004497751123,0.37291354322838577,1.0,0.3391304347826087,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit24h,liq_reversion,BTCUSDT,uptrend_high_vol,exploratory,1,1,False,200.12303784568155,200.12303784568155,200.12303784568155,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit24h,liq_reversion,BTCUSDT,downtrend_low_vol,exploratory,6,4,False,-156.38249197101723,-411.95971204576034,-36.422730625784034,0.9245377311344328,0.07596201899050475,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit24h,liq_reversion,BTCUSDT,downtrend_high_vol,exploratory,6,2,False,9.124671823836664,-4.308035365727653,76.28820777165825,0.26636681659170414,0.5107446276861569,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit72h,liq_reversion,BTCUSDT,all,primary,17,10,True,51.99973850460569,-118.61482911011407,209.56467081145655,0.2938530734632684,0.5507246376811594,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit72h,liq_reversion,BTCUSDT,uptrend,primary,9,7,False,236.11333096331995,113.73359923724153,312.61794825906316,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit72h,liq_reversion,BTCUSDT,downtrend,primary,8,4,False,-155.12805301144783,-698.1126997887557,21.635953949516292,0.7276361819090454,0.3968015992003998,,,,,False,False,False,False
