offset_min,mean_ret_all,n_all,mean_ret_top_quartile_funding,n_top_quartile,mean_ret_bottom_quartile_funding,n_bottom_quartile,cum_ret_all,cum_ret_top_quartile,cum_ret_bottom_quartile
19,1.4434477779993875e-05,6113.0,1.5069716458364017e-05,976.0,1.0464674961068463e-05,2020.0,0.00010928094172197472,0.00020253020051504093,0.00021334025285364304
20,-7.458344990679899e-06,6113.0,-1.0911694382385099e-05,976.0,-1.1855621124948008e-05,2020.0,0.00010182259673129482,0.00019161850613265584,0.00020148463172869503
21,-2.7993386103436144e-05,6113.0,-2.8371112607599755e-05,976.0,6.684468325183345e-06,2020.0,7.382921062785867e-05,0.0001632473935250561,0.00020816910005387837
22,-1.8882685155450296e-05,6113.0,-1.818031955827162e-05,976.0,-2.1321709917070948e-05,2020.0,5.494652547240838e-05,0.00014506707396678446,0.00018684739013680743
23,3.081986180175081e-05,6113.0,5.453537166105464e-05,976.0,2.49840883979675e-05,2020.0,8.57663872741592e-05,0.0001996024456278391,0.00021183147853477493
24,7.59816946661114e-06,6113.0,-2.1480589338451623e-05,976.0,3.694412638557937e-05,2020.0,9.336455674077034e-05,0.00017812185628938748,0.0002487756049203543
25,7.873062814874446e-06,6113.0,3.450177751111886e-06,976.0,3.5197303027729816e-05,2020.0,0.00010123761955564479,0.00018157203404049936,0.0002839729079480841
26,1.648317564406414e-05,6113.0,-1.6606415238825176e-05,976.0,2.971602850393797e-05,2020.0,0.00011772079519970893,0.00016496561880167417,0.00031368893645202206
27,1.2609200200696393e-05,6113.0,1.9160994642722656e-05,976.0,1.5186529901993663e-05,2020.0,0.00013032999540040532,0.00018412661344439682,0.0003288754663540157
28,1.104404758889101e-05,6113.0,3.015441276266082e-05,976.0,2.4398121992162695e-05,2020.0,0.00014137404298929633,0.00021428102620705763,0.0003532735883461784
29,3.129915813034428e-05,6113.0,3.4679156867054304e-05,976.0,2.7404426483143974e-05,2020.0,0.0001726732011196406,0.0002489601830741119,0.00038067801482932236
30,-1.6839319195050158e-05,6113.0,5.566438289078182e-06,976.0,6.556501283138073e-06,2020.0,0.00015583388192459046,0.0002545266213631901,0.0003872345161124604
31,-2.618130111773057e-05,6113.0,1.2052567153070851e-05,976.0,-3.1883122346405874e-05,2020.0,0.0001296525808068599,0.00026657918851626095,0.00035535139376605455
