ts,leg,net_bp,year
1694131200000,bottom,137.07502287282637,2023
1694188800000,bottom,264.3672015364591,2023
1694217600000,bottom,272.29233091764127,2023
1694246400000,bottom,9.68999725613552,2023
1694390400000,bottom,-155.47091040691782,2023
1694534400000,bottom,-56.82851417120037,2023
1694707200000,bottom,37.99137850248392,2023
1694736000000,bottom,-18.112183380744483,2023
1694764800000,bottom,-71.51369104564307,2023
1694822400000,bottom,-66.87406427562091,2023
1694851200000,bottom,-152.10214347215188,2023
1694880000000,bottom,-342.59774140950424,2023
1695052800000,bottom,241.48502550449825,2023
1695110400001,bottom,58.02925862749731,2023
1695139200000,bottom,259.3053170107802,2023
1695168000000,bottom,211.22505950694827,2023
1695196800000,bottom,170.65798947659871,2023
1695513600000,bottom,121.34729098349851,2023
1695600000000,bottom,-67.75113491572935,2023
1695686400000,bottom,-291.12589335635806,2023
1695888000000,bottom,-264.2893190224409,2023
1695916800000,bottom,-32.79615952732783,2023
1695945600000,bottom,-369.8488373384061,2023
1695974400000,bottom,-426.785065181438,2023
1696176000000,bottom,-108.8365148225827,2023
1696435200000,bottom,-210.76356971250362,2023
1696464000000,bottom,-79.77738713198444,2023
1696492800000,bottom,-122.73268432002314,2023
1696521600001,bottom,-129.82269297736536,2023
1696608000000,bottom,161.50771875783465,2023
1697558400000,bottom,-400.77918424753875,2023
1697587200000,bottom,-463.5181720486929,2023
1697731200000,bottom,-408.33023849550386,2023
1697760000000,bottom,-455.77700348432046,2023
1699545600000,top,-19.911848957633747,2023
1699603200000,top,117.41137127409718,2023
1699689600000,top,-107.48266090945967,2023
1699718400000,top,-270.0432955736858,2023
1699747200000,top,-447.59675501783323,2023
1699776000000,top,-421.0044376508708,2023
1699804800001,top,-218.4519231544617,2023
1699833600000,top,194.12498820687918,2023
1699862400000,top,120.3296090140611,2023
1699891200000,top,-136.2837873004856,2023
1699920000000,top,-99.04781540621065,2023
1699948800000,top,-135.47017320192077,2023
1699977600001,top,-25.305869377127298,2023
1700121600000,top,-246.60776781903525,2023
1700150400001,top,13.300087162929199,2023
1702022400000,top,-266.9352147091623,2023
1702051200000,top,-482.09955318184217,2023
1702080000000,top,-690.5107406335891,2023
1702108800000,top,-525.160507338958,2023
1702137600000,top,-633.9137692625045,2023
1702166400000,top,-529.1139719664621,2023
1702195200000,top,-661.5613053941476,2023
1702224000000,top,-459.40344283962696,2023
1702252800000,top,-213.39123107872715,2023
1702425600000,top,100.93200238106071,2023
1702454400000,top,252.72012246236721,2023
1702483200001,top,133.0332409510222,2023
1702857600000,top,523.8072175770066,2023
1702915200000,top,599.9351223442491,2023
1703088000000,top,-81.00479059301823,2023
1703116800000,top,-2.550282579025108,2023
1703145600000,top,-45.79668383185286,2023
1703174400000,top,-56.879124636689966,2023
1703203200000,top,-220.74259681093378,2023
1703232000000,top,-116.09220345190673,2023
1703260800000,top,-22.695672072476235,2023
1703289600000,top,-98.99459125328346,2023
1703347200000,top,-317.7838825329409,2023
1703404800000,top,-283.6111544917257,2023
1703433600000,top,-169.0616537772964,2023
1703520000000,top,-295.0001397099071,2023
1703548800000,top,-241.46442716737647,2023
1703577600000,top,-115.72906688359018,2023
1703606400000,top,-41.46068717661254,2023
1703635200000,top,-121.46319174141261,2023
1703664000000,top,-132.4197830696432,2023
1703692800000,top,-138.2497459426395,2023
1703750400000,top,-131.2197725690416,2023
1703779200000,top,5.347236950630897,2023
1703808000001,top,-85.82911048179919,2023
1703836800000,top,29.87756788861053,2023
1703865600000,top,102.66324234072655,2023
1703894400001,top,512.4108738491813,2023
1703923200000,top,829.3734939759053,2023
1703952000000,top,652.6462590480315,2023
1703980800000,top,657.2129792643617,2023
1704009600001,top,561.1333533676428,2023
1704038400000,top,96.28503825519564,2023
1704067200000,top,100.90152816197696,2024
1704096000000,top,63.40254732441443,2024
1704124800000,top,283.14203010871245,2024
1704153600000,top,-28.26520623509342,2024
1704182400000,top,-400.3741187322911,2024
1704211200000,top,-400.60982937775645,2024
1705190400000,bottom,-86.71004215548604,2024
1705219200000,bottom,76.01701328523626,2024
1705248000001,bottom,94.70147255689466,2024
1705276800000,bottom,-251.79365037557065,2024
1705305600000,bottom,-60.7680207857879,2024
1705334400000,bottom,-83.13526536923786,2024
1705363200000,bottom,283.14911765120644,2024
1705392000000,bottom,327.49593039573324,2024
1705420800001,bottom,558.3286528441284,2024
1705449600000,bottom,328.0395848251223,2024
1705478400000,bottom,217.7656357372211,2024
1705507200000,bottom,204.9485574434036,2024
1705536000001,bottom,242.7508160841059,2024
1705564800000,bottom,279.88671824944754,2024
1705593600000,bottom,205.24891338294339,2024
1705622400000,bottom,-92.87027717268901,2024
1705651200000,bottom,57.580955978680635,2024
1705680000002,bottom,32.24853945548124,2024
1705708800000,bottom,485.5573087249772,2024
1705737600003,bottom,429.96686276863994,2024
1705766400000,bottom,552.7699621784438,2024
1705795200000,bottom,419.9754337235835,2024
1705824000000,bottom,384.896780837209,2024
1705852800000,bottom,376.0356760442325,2024
1705881600000,bottom,357.359608422005,2024
1705910400000,bottom,199.41307258727403,2024
1705939200000,bottom,214.22432200270026,2024
1705968000000,bottom,-106.1078219669691,2024
1705996800000,bottom,-58.37520416111784,2024
1706025600000,bottom,-574.3462567492778,2024
1706054400000,bottom,-489.62810290356697,2024
1706083200000,bottom,-432.51987969428575,2024
1706112000000,bottom,-456.91495952833105,2024
1706140800000,bottom,-527.8185967426612,2024
1706169600001,bottom,-570.6864919681369,2024
1706198400000,bottom,-628.7416432459041,2024
1706227200001,bottom,-510.3640687385018,2024
1706256000000,bottom,-534.1933275962145,2024
1706284800000,bottom,-310.70401329311204,2024
1706313600000,bottom,-367.3123179403952,2024
1706342400000,bottom,-412.97197405458274,2024
1706371200000,bottom,-390.2119954355048,2024
1706400000000,bottom,-219.18179011612682,2024
1706428800000,bottom,-167.9223548280577,2024
1706457600000,bottom,-273.40131605411085,2024
1706486400000,bottom,-167.3631261493884,2024
1706515200001,bottom,-35.754946575558435,2024
1706544000000,bottom,8.306454563791878,2024
1706572800000,bottom,24.885677956305152,2024
1706601600000,bottom,45.92887916611789,2024
1706630400001,bottom,-16.88382566004941,2024
1706659200000,bottom,-63.542736136645175,2024
1706688000000,bottom,-14.069685439925138,2024
1706716800000,bottom,41.628589220230175,2024
1706745600000,bottom,-96.20990742000778,2024
1706774400000,bottom,-166.2056661576543,2024
1706803200002,bottom,-98.64996698134274,2024
1706832000000,bottom,106.91870364009382,2024
1706860800000,bottom,-15.601857225770331,2024
1706889600000,bottom,131.2429804617461,2024
1706918400000,bottom,100.50496574113345,2024
1706947200000,bottom,17.335001126573392,2024
1706976000001,bottom,-48.1390330675484,2024
1707004800000,bottom,-38.50375817373729,2024
1707033600004,bottom,-30.881794747263257,2024
1707062400000,bottom,-38.4612696563773,2024
1707091200000,bottom,-438.16681937142096,2024
1707120000000,bottom,-351.7520490043384,2024
1707148800000,bottom,-666.933370222224,2024
1707177600000,bottom,-626.6058175651283,2024
1707206400001,bottom,-788.2517734962017,2024
