offset_min,mean_ret_all,n_all,mean_ret_top_quartile_funding,n_top_quartile,mean_ret_bottom_quartile_funding,n_bottom_quartile,cum_ret_all,cum_ret_top_quartile,cum_ret_bottom_quartile
-45,1.676376082535312e-05,6113.0,9.92858219605178e-06,1026.0,2.714505712144173e-05,2104.0,6.390086750535232e-05,0.0002485379208227177,-1.0879670790680667e-05
-44,-9.491830714847059e-06,6113.0,-1.4565368616952814e-05,1026.0,-4.187474298816312e-05,2104.0,5.440903679050527e-05,0.00023397255220576485,-5.2754413778843786e-05
-43,-2.5044983152253734e-05,6113.0,1.7634170086853707e-05,1026.0,-3.104009567624653e-05,2104.0,2.9364053638251534e-05,0.00025160672229261854,-8.379450945509031e-05
-42,9.682438027855019e-06,6113.0,-8.659918687028865e-06,1026.0,4.656364281949028e-05,2104.0,3.9046491666106556e-05,0.00024294680360558967,-3.7230866635600035e-05
-41,9.518993145906006e-07,6113.0,-7.869988206004426e-06,1026.0,3.6901477949683145e-05,2104.0,3.999839098069716e-05,0.00023507681539958525,-3.293886859168904e-07
-40,-8.129038682589615e-06,6113.0,-2.7045314865210866e-05,1026.0,-1.9102408132428974e-05,2104.0,3.1869352298107546e-05,0.00020803150053437438,-1.9431796818345864e-05
-39,8.27973044567497e-07,6113.0,-5.003276926545017e-05,1026.0,2.577374339311988e-05,2104.0,3.2697325342675044e-05,0.0001579987312689242,6.341946574774017e-06
-38,4.873727683958821e-06,6113.0,2.6053607863363825e-06,1026.0,-1.6886680270825377e-07,2104.0,3.757105302663386e-05,0.00016060409205526059,6.173079772065763e-06
-37,1.2483646985895304e-05,6113.0,-4.6827031066938915e-05,1026.0,2.1305332482073062e-05,2104.0,5.005470001252916e-05,0.00011377706098832167,2.7478412254138826e-05
-36,2.5617719366423674e-05,6113.0,4.420120296040032e-05,1026.0,-5.5363867805000094e-06,2104.0,7.567241937895283e-05,0.000157978263948722,2.1942025473638818e-05
-35,2.3195108894096916e-05,6113.0,2.1221862015083645e-05,1026.0,2.9869156489985593e-05,2104.0,9.886752827304975e-05,0.00017920012596380565,5.181118196362441e-05
-34,-1.1269944580514704e-06,6113.0,2.4952558042721957e-05,1026.0,-2.91751578869838e-05,2104.0,9.774053381499828e-05,0.0002041526840065276,2.263602407664061e-05
-33,-2.596008192412184e-05,6113.0,-2.4945154464186795e-05,1026.0,-4.31505588439542e-05,2104.0,7.178045189087644e-05,0.00017920752954234082,-2.051453476731359e-05
-32,7.815642088687677e-06,6113.0,-8.057550110737251e-06,1026.0,1.6115825917453363e-05,2104.0,7.959609397956411e-05,0.00017114997943160358,-4.398708849860226e-06
