variant,symbol,direction,ret_threshold,oi_threshold,entry_delay_min,exit_hold_h,n_events,mean_net_bp,median_net_bp,win_rate,std_bp,t_stat,null_percentile,edge_vs_null_bp,significant,year_breakdown
btc_long_ret-5_oinone_entry60_exit72h,BTCUSDT,long,-0.05,,60,72,68,183.59003720725212,139.93135724802386,0.6323529411764706,737.08904077933,2.053920417582755,100.0,177.12276339201964,True,"{""2021"": {""n"": 34, ""mean_bp"": 275.20586409867195}, ""2022"": {""n"": 13, ""mean_bp"": 29.283626487652114}, ""2023"": {""n"": 7, ""mean_bp"": 114.18662499198243}, ""2024"": {""n"": 9, ""mean_bp"": 172.4812779452833}, ""2025"": {""n"": 4, ""mean_bp"": -5.230097796394979}, ""2026"": {""n"": 1, ""mean_bp"": 415.7185211329735}}"
btc_short_ret2_oi-1_entry0_exit4h,BTCUSDT,short,0.02,-0.01,0,4,145,-37.43364760703983,-19.494104876814234,0.45517241379310347,147.38079429853605,-3.058477261130011,0.5,-22.57120060411011,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 53, ""mean_bp"": -31.696346271956145}, ""2024"": {""n"": 49, ""mean_bp"": -46.83342414878371}, ""2025"": {""n"": 26, ""mean_bp"": -54.20262343328115}, ""2026"": {""n"": 17, ""mean_bp"": -2.580385767728716}}"
btc_short_ret2_oi-1_entry0_exit24h,BTCUSDT,short,0.02,-0.01,0,24,145,-97.57175839831334,-58.22819654648747,0.41379310344827586,294.8713015952814,-3.984516467407769,0.0,-75.77574450715295,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 53, ""mean_bp"": -49.43704983414733}, ""2024"": {""n"": 49, ""mean_bp"": -153.87847761822817}, ""2025"": {""n"": 26, ""mean_bp"": -100.42367920338917}, ""2026"": {""n"": 17, ""mean_bp"": -80.98119199790156}}"
btc_short_ret2_oi-1_entry0_exit72h,BTCUSDT,short,0.02,-0.01,0,72,145,-155.9791637842845,-128.71264630839585,0.38620689655172413,460.7856449117496,-4.076163990284721,0.0,-120.95110274775487,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 53, ""mean_bp"": -218.68947503347056}, ""2024"": {""n"": 49, ""mean_bp"": -147.39422879565242}, ""2025"": {""n"": 26, ""mean_bp"": -136.06273635891083}, ""2026"": {""n"": 17, ""mean_bp"": -15.675777389921521}}"
btc_short_ret2_oi-1_entry30_exit4h,BTCUSDT,short,0.02,-0.01,30,4,145,-32.92116076600722,-29.396617697441826,0.4068965517241379,160.81984032258293,-2.465014703486401,1.0,-17.415800712438752,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 53, ""mean_bp"": -28.37816646453778}, ""2024"": {""n"": 49, ""mean_bp"": -28.521135519634054}, ""2025"": {""n"": 26, ""mean_bp"": -65.94650986016978}, ""2026"": {""n"": 17, ""mean_bp"": -9.257681860238927}}"
btc_short_ret2_oi-1_entry30_exit24h,BTCUSDT,short,0.02,-0.01,30,24,145,-89.45696520016311,-61.25542666414007,0.4,291.24393050298113,-3.6986333254366963,0.5,-70.31710027716952,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 53, ""mean_bp"": -54.94240270479512}, ""2024"": {""n"": 49, ""mean_bp"": -126.30733679580995}, ""2025"": {""n"": 26, ""mean_bp"": -97.88113328431581}, ""2026"": {""n"": 17, ""mean_bp"": -77.96139072250654}}"
btc_short_ret2_oi-1_entry30_exit72h,BTCUSDT,short,0.02,-0.01,30,72,145,-164.48862569358877,-133.83716454536997,0.36551724137931035,461.8600467657381,-4.2885401265928405,0.0,-126.77427026955435,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 53, ""mean_bp"": -234.88712696945666}, ""2024"": {""n"": 49, ""mean_bp"": -141.351030925474}, ""2025"": {""n"": 26, ""mean_bp"": -154.78410724647944}, ""2026"": {""n"": 17, ""mean_bp"": -26.543864260734118}}"
btc_short_ret2_oi-1_entry60_exit4h,BTCUSDT,short,0.02,-0.01,60,4,145,-39.86450174219075,-32.57619815882505,0.3586206896551724,146.80658763288136,-3.269827163788008,0.0,-24.722000866687516,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 53, ""mean_bp"": -43.02075416822546}, ""2024"": {""n"": 49, ""mean_bp"": -31.097797160392183}, ""2025"": {""n"": 26, ""mean_bp"": -57.413923161924906}, ""2026"": {""n"": 17, ""mean_bp"": -28.452865801908562}}"
btc_short_ret2_oi-1_entry60_exit24h,BTCUSDT,short,0.02,-0.01,60,24,145,-87.62695360027342,-50.346820409539625,0.38620689655172413,287.20527676882375,-3.6739166539703194,0.0,-65.858798518952,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 53, ""mean_bp"": -54.377899961856045}, ""2024"": {""n"": 49, ""mean_bp"": -125.58523328777554}, ""2025"": {""n"": 26, ""mean_bp"": -96.44733217723024}, ""2026"": {""n"": 17, ""mean_bp"": -68.38661802072295}}"
btc_short_ret2_oi-1_entry60_exit72h,BTCUSDT,short,0.02,-0.01,60,72,145,-159.98731193293764,-141.02667302852632,0.33793103448275863,452.7158653549977,-4.255433695782994,0.0,-122.61899843860812,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 53, ""mean_bp"": -229.18094493792165}, ""2024"": {""n"": 49, ""mean_bp"": -130.7632229716924}, ""2025"": {""n"": 26, ""mean_bp"": -151.3203695728359}, ""2026"": {""n"": 17, ""mean_bp"": -41.75544788584993}}"
btc_short_ret2_oi-2_entry0_exit4h,BTCUSDT,short,0.02,-0.02,0,4,81,-29.32856788198715,-8.792153795137857,0.48148148148148145,157.7218105543136,-1.673561253261084,11.5,-13.512404849374478,False,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 38, ""mean_bp"": -34.63696973209768}, ""2024"": {""n"": 24, ""mean_bp"": -33.21447347670136}, ""2025"": {""n"": 11, ""mean_bp"": -15.072124619767568}, ""2026"": {""n"": 8, ""mean_bp"": -12.058551795371425}}"
btc_short_ret2_oi-2_entry0_exit24h,BTCUSDT,short,0.02,-0.02,0,24,81,-76.5883571144153,-26.486998582176277,0.48148148148148145,308.0036003253375,-2.2379453139562338,2.0,-53.69518639482111,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 38, ""mean_bp"": -58.277217075115736}, ""2024"": {""n"": 24, ""mean_bp"": -101.7478552762218}, ""2025"": {""n"": 11, ""mean_bp"": -44.68717181188477}, ""2026"": {""n"": 8, ""mean_bp"": -131.95190760664835}}"
btc_short_ret2_oi-2_entry0_exit72h,BTCUSDT,short,0.02,-0.02,0,72,81,-188.8584603233238,-137.32494107620386,0.4074074074074074,482.2344745658735,-3.5246881601322153,0.0,-153.1184978918686,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 38, ""mean_bp"": -273.9422511946185}, ""2024"": {""n"": 24, ""mean_bp"": -151.78848766174806}, ""2025"": {""n"": 11, ""mean_bp"": -150.8589020421231}, ""2026"": {""n"": 8, ""mean_bp"": 51.83023569394774}}"
btc_short_ret2_oi-2_entry30_exit4h,BTCUSDT,short,0.02,-0.02,30,4,81,-32.9689918676337,-24.479403940717447,0.4074074074074074,181.35797426160138,-1.6361063141381122,6.0,-18.571613026013182,False,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 38, ""mean_bp"": -39.23599738502965}, ""2024"": {""n"": 24, ""mean_bp"": -12.445000452412751}, ""2025"": {""n"": 11, ""mean_bp"": -48.815980554305696}, ""2026"": {""n"": 8, ""mean_bp"": -42.983080461491696}}"
btc_short_ret2_oi-2_entry30_exit24h,BTCUSDT,short,0.02,-0.02,30,24,81,-83.92102336592237,-35.83380756053732,0.4444444444444444,300.7853760527913,-2.5110569543139603,0.5,-64.98850170140913,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 38, ""mean_bp"": -56.82841090834311}, ""2024"": {""n"": 24, ""mean_bp"": -116.35598880424963}, ""2025"": {""n"": 11, ""mean_bp"": -73.15859072724355}, ""2026"": {""n"": 8, ""mean_bp"": -130.1043811026255}}"
btc_short_ret2_oi-2_entry30_exit72h,BTCUSDT,short,0.02,-0.02,30,72,81,-197.62909966661996,-133.83716454536997,0.37037037037037035,490.0331898998255,-3.6296763844979165,0.0,-154.38329837934538,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 38, ""mean_bp"": -282.1274133649548}, ""2024"": {""n"": 24, ""mean_bp"": -149.26926618182418}, ""2025"": {""n"": 11, ""mean_bp"": -184.75236439168538}, ""2026"": {""n"": 8, ""mean_bp"": 40.95287894304815}}"
